model,KL,JSD
BPR,4.208375584916122,0.09451410815142249
BPR,2.55223103706736,0.09710970699393298
BPR,6.8532402789391025,0.18077604191834173
BPR,8.38268945810229,0.19903788852095933
BPR,4.397006338946207,0.1134646698733428
BPR,1.0526415462125607,0.06310048468786011
BPR,0.920667740659405,0.04298561074246314
BPR,1.116587604587028,0.03934858098456682
BPR,2.0998648423365416,0.08553117336389161
BPR,4.2417341035864276,0.12574738452505732
BPR,5.4166380981907185,0.15645711107743093
BPR,8.069934096583363,0.24111814826720737
BPR,1.8076676326679073,0.06833748274988115
BPR,2.1662839126434275,0.06827690599067153
BPR,2.627291026937032,0.08071187930925557
BPR,8.438386529539445,0.1986566622262007
BPR,3.188228567974213,0.08413676522739585
BPR,7.346745884879261,0.19632856245205615
BPR,6.38662555685832,0.15684192098269054
BPR,9.318049453761507,0.2441921367830526
BPR,8.177616135945186,0.2123365538173463
BPR,2.549195133067327,0.10409504234037886
BPR,6.1850365651461345,0.1614528354974922
BPR,5.000237027199,0.11620525647279441
BPR,4.206163244337013,0.10399247717136437
BPR,4.087375572726906,0.159700498773562
BPR,2.3539545207513455,0.0947362596953896
BPR,4.173540753988214,0.13459636786296972
BPR,3.277031306804142,0.16912283163148834
BPR,2.7977595876706736,0.07090560436313956
BPR,4.560904356680741,0.18570798436076202
BPR,6.801643016554822,0.1646012336430037
BPR,3.805936813755646,0.13422252271877477
BPR,8.447211285736579,0.23374278528517206
BPR,5.387715361846991,0.14991366047117477
BPR,3.1092343644726004,0.17806599313103563
BPR,6.194945485374917,0.14398150166784296
BPR,1.5685951523512116,0.042576276499159973
BPR,3.202743936961296,0.11167052052053855
BPR,2.2140510503946857,0.12145409261814562
BPR,2.178915353022017,0.06406379518594332
BPR,2.2808196248057544,0.10395552735469211
BPR,3.889471997028779,0.1307367028517028
BPR,4.586284630562785,0.13957065340509978
BPR,5.400777501946435,0.15096827778299457
BPR,3.8675080986472334,0.10495137751485988
BPR,7.236140458033567,0.17321699427769308
BPR,0.055796565667437015,0.022358735314222902
BPR,1.2691614149056591,0.03594182550280879
BPR,8.255364653375658,0.19198663308797248
BPR,5.96741369756457,0.19278897701534298
BPR,5.83553054204886,0.15370789287413167
BPR,9.824557262082806,0.24793508515486226
BPR,3.204299325757563,0.11044234406600588
BPR,2.451686467290462,0.08235835292061461
BPR,1.176522823810046,0.08295289846186445
BPR,3.8938673812934117,0.11751263787447129
BPR,8.369900250200972,0.20041407533948424
BPR,4.268468259211922,0.12703926314511818
