user	KL	JSD
user_007XIjOr	0.014972330884727202	0.005313025679759525
user_00Y0Uqn9	0.043753895625372616	0.014319659958370675
user_00c8xHqc	0.08719770431441079	0.04107989402739272
user_00qujrxB	0.012853992538428833	0.004203988231781331
user_00s56GJz	0.004300552656459254	0.0015679792717666898
user_019SS48x	0.1336063585195587	0.04858950424170584
user_01TB3qzT	0.3376022717804068	0.032785863304803035
user_01iQLLO6	0.006413173200233067	0.0023285035277382485
user_01kaIjH9	0.0022885199684970943	0.000810581496525543
user_01vPMYvi	0.040856133669036884	0.013644429727615995
user_02DWuQOR	0.027078514647322582	0.011338578044666389
user_02Q0tXXI	1.318397039182826	0.0405422616310094
user_02jFGVkG	0.009899112773460533	0.0034547450366907624
user_02pcUMVW	0.1300825653582377	0.059127479842441974
user_031DANCb	0.042870571057050916	0.016909679785151815
user_03A4cBR7	0.018860400345372907	0.006930923290140348
user_03HNYbGS	0.15672404900064418	0.06154702107951953
user_03X3qJtv	0.01939430779512096	0.006944018758005459
user_03f7vI4Z	0.027955883216862196	0.009423800384048041
user_04EVkvDS	0.04177851384536614	0.01603472988108144
user_04ausIp8	0.5279870817787898	0.03557062224205327
user_04jXRyvm	0.37756341473757343	0.029215108185230355
user_06CFDTge	0.02732428357472049	0.012628344048483375
user_06DtYDzj	0.033190098940760235	0.013064327717045748
user_06XuFtIy	0.7484253845110871	0.041714570849049545
user_06cO2Ozr	0.06488253108222215	0.030100592181042395
user_06kNhNYa	0.3643052265120642	0.031960038766945184
user_06nC1Osx	0.0937809943958611	0.04020137746256635
user_06t8E8ki	0.06615354420536915	0.028041002114056166
user_076jAOuQ	0.8145720618595151	0.03577326015159424
user_07JXQt4u	0.033538898949856795	0.013294672933551063
user_07Q5KjtI	0.014099086248940112	0.004775719787080456
user_07TMvffG	0.11752730502839706	0.045699295889639675
user_07lkDDkw	0.05660481218833528	0.020305826970714987
user_083iQpV5	0.5683186674256396	0.021544866018677656
user_088flMMT	0.026999386361969364	0.010136056542090323
user_08YyAOLt	0.12298675327671729	0.04129228265171401
user_08aI4nGD	0.12306318654899369	0.04179350606150524
user_08uFTEyr	0.38243852899996994	0.026962545177820447
user_09fQukcf	0.043685600655865214	0.01827235842797417
user_09oFnxX5	0.09525258793358546	0.03363059139325233
user_09y1WGSJ	0.008176776307361522	0.0029154604805130433
user_0AgZXsm4	0.10148077588241294	0.036155228133857506
user_0BX9L05X	0.42173144460133255	0.029030951679657798
user_0BZUk6bj	0.8019916667456943	0.023402806721108886
user_0Bomhmx1	0.18589273418957641	0.06968438618969373
user_0C0uAf8j	0.008943556101650122	0.0032131304071333576
user_0C3AfgxZ	0.09353908574323797	0.03743090658879683
user_0CFuJU65	0.36241779721174633	0.020163910069484873
user_0CbWuNI0	0.07773858528065858	0.02951793336526024
user_0Cotdga3	0.03340938808332701	0.01251289752757157
user_0DSG0TfC	0.033201048414608886	0.014680747587211189
user_0DyyqPkr	0.05879591821157756	0.02037999999354248
user_0Dz8cglH	0.07602798596694148	0.02650183869153992
user_0E4xX7qV	0.23392918575237975	0.10993484075018119
user_0EQGV3Rr	0.08511246829593691	0.03184850943766607
user_0EvXBd9d	0.39615677047486075	0.03068403971235527
user_0FOxZwdv	0.41433580735837694	0.01894788528003274
user_0Fc6KYaN	0.0057971345104257535	0.002148637835406817
user_0FnTcL48	0.0574265306084778	0.022582977138427808
user_0GDPm7Vw	0.017081047741214328	0.006048623486954718
user_0GoDJ2Ki	0.038576371782800836	0.013539490509829727
user_0GqMZJ4D	0.020695116976855908	0.007329583812391168
user_0Grqd3zQ	0.060206153475892546	0.022822879888033134
user_0HRbaLUL	0.0739581111396107	0.030482437767745323
user_0HvfQN7h	0.017767539865369456	0.006923394953817196
user_0IuFZfWT	0.64448540665889	0.03551534076730286
user_0J07JlC1	0.08656610530825092	0.03281794971630454
user_0JEi9eod	0.029291202911597133	0.010755730803743828
user_0JLfWZBF	0.04813597285183391	0.01938101958945558
user_0JN1caiN	0.08670017876299033	0.03522087530797375
user_0JQJ1feD	0.06514254708556061	0.023117183757993823
user_0JV4ITj1	0.006763150451949033	0.0024209161644542323
user_0K0qvcbo	0.46412587953347373	0.03297764609091403
user_0K424WN5	0.1058853825265651	0.03526789214100234
user_0KJGwOuS	0.7749905257652198	0.05781568030573825
user_0KK1hOk8	0.039274485264148014	0.013880712581566755
user_0KPh2Wos	0.05832698466396197	0.02005247258272921
user_0KwrlGof	0.007986228910672325	0.002959776852112338
user_0LAcfQ85	0.08386110474937024	0.035529018640054415
user_0LKbnqSY	0.12205362392111349	0.0460494740606605
user_0LKfM3Ds	0.03300975877083792	0.012275494073047196
user_0LXgLXDj	0.1843397436761384	0.06935876031445724
user_0Ldl7hHg	0.06396326137067747	0.02527540139438924
user_0LfBlhId	0.21850620634293572	0.08477434257560869
user_0MoSgRWz	0.0928920320691105	0.04179133076217588
user_0MxyNBjt	0.373307219818164	0.01528418620268321
user_0My7VC6A	0.0416023187577865	0.017482405547952037
user_0N9U10vF	0.0738175317509626	0.028446255687929477
user_0NaWuerO	0.03357588300150212	0.011988291252874097
user_0NrMqFXe	0.029439827316145077	0.012034608936798485
user_0NwAmW0b	0.21525926768191636	0.10198460346921791
user_0O96cZHx	0.5642381806918623	0.23483555761417285
user_0O9rUNmu	0.05712429211717988	0.022218878338319745
user_0OIMaczB	0.02630113897319364	0.009885997747139571
user_0OtMUYrH	0.044536051509064624	0.017636437958763622
user_0PJuAoVH	0.02298178879160022	0.008657478621394337
user_0PapvR1R	0.07688967462170969	0.030717658056292594
user_0Pic592i	0.020718367298348077	0.00759513158706213
user_0PkisgLb	0.14996566046252358	0.05020270173687758
user_0Q75y5GH	0.417294840850406	0.04799458202762115
user_0QBoLMYy	0.07198774482718356	0.02460646596199626
user_0QYH1Kd6	0.11058350471537075	0.037700989539773536
user_0QYrYFDc	0.021244485551927338	0.007608667766041148
user_0QazLmDS	0.8062469381975532	0.05985745089429356
user_0QbKRt8m	0.045268821786358465	0.015911953477395577
user_0QjMk9Ab	0.7889696225604641	0.3171630637143359
user_0QqCpTeA	0.08082357687728267	0.0339919712313706
user_0QrsUFSC	0.013539700281114966	0.005331922885577565
user_0Qwxgh5M	0.48885367013285996	0.01562629125310013
user_0RGMBUCs	0.014703291166642068	0.005270967893319185
user_0RgSriNO	0.035528238371573186	0.012632064904877203
user_0S1iaArn	0.07960495451095859	0.03398370858783077
user_0SFbMCnw	0.01862865347916951	0.006301876211216282
user_0SJ3y6fR	0.10311527717788134	0.03931976280144467
user_0SL7k7m2	0.06392153226076061	0.025981432477374427
user_0Sgg9jvU	1.1041779650696086	0.027978753492742585
user_0T7nVLbr	0.05993457068991463	0.022111856840216063
user_0TK750CJ	0.013531722644196543	0.004343406808524243
user_0TWPkyGx	0.03660896618735069	0.016061236062666524
user_0Te2oqis	0.19262341458481216	0.08951743542787038
user_0UXecg1S	0.37132719665578795	0.012934219572625307
user_0UhVWq6z	0.018179586976948048	0.00797558277859933
user_0UriLQjI	0.0535821090200939	0.019789799240985118
user_0V19a3oe	0.037557897862859575	0.0140255702492594
user_0V8OEOPv	0.2628093246985653	0.012250169375528966
user_0WTCzp4q	0.01849255550306729	0.006401500472680437
user_0WUdTkLy	0.02172905495712512	0.007881327420030363
user_0Wmx70qd	0.05786607484734248	0.024644279499870896
user_0X25mycm	0.09484621363003987	0.04076043652052051
user_0XWd8KdZ	0.1284610561160365	0.04732485884380819
user_0XWmf6Xr	0.02315492160503866	0.008576587739473871
user_0XnX43eo	0.04296436471481312	0.014822144556725942
user_0YEDFedP	0.027180598223058287	0.009589307791549595
user_0YdHZHqx	0.5611116269633545	0.05211264978890017
user_0YeceFcj	0.057466656669652484	0.02413271475877642
user_0YihQbIB	0.04454209406030259	0.015715358894386723
user_0Yodot8X	0.04068700000313395	0.01885631911188747
user_0YzFsMX0	0.08948712076675619	0.030814838567799673
user_0Z5igLoW	0.06356770809630191	0.021459233322502956
user_0ZT94dfq	0.06711950991980499	0.027187454612581707
user_0ZW1vVX7	0.02750989225550533	0.012811713944529651
user_0ZcJbcqg	0.1088755369118497	0.046089820684489115
user_0Zv5ybFa	0.04469038028675383	0.016797867314022333
user_0ZzLZeCO	0.053673361056827434	0.02135434562142608
user_0aNHE98D	0.0671000579074284	0.023782883299682075
user_0ad70apY	0.6103019040848625	0.028671546269722056
user_0aehrOeK	0.25972656698114815	0.01114954781341305
user_0am87OFe	0.0822441261691624	0.03185517507004413
user_0b45HpIV	1.3736463292093224	0.060382945696576325
user_0bOVrdDv	0.46748981627976993	0.026420200641786455
user_0btFJiB7	0.0281386646450217	0.011710542493163261
user_0bvQTIfa	0.049759832658724856	0.019867926940382804
user_0bxTvDgc	0.9407242781517652	0.04306187798596421
user_0c4C1y42	0.19433151373771637	0.09112065754306559
user_0cf4pcwS	0.22868293670479664	0.007897781758261616
user_0cs8k3BO	1.068473916256543	0.05732639505879429
user_0dLyUEPv	0.07190159472243551	0.023092070810879183
user_0dt8EICQ	0.03250452119170438	0.011472541738332535
user_0e2L8QCl	0.07989748448254923	0.030942526571978362
user_0eVjssFQ	0.01516214516427624	0.005677707405854268
user_0f9XGfxh	0.01968872143211474	0.007444060472620507
user_0fA4nTaP	0.025386234847151204	0.009037469461732355
user_0fBfDco9	0.012330644776650091	0.004308703001276235
user_0fKvb46n	0.7090266801145868	0.04230177629533854
user_0flWQVBB	0.04778435773871176	0.017052623233012737
user_0ftSMtxM	0.03139284122435944	0.011408884374122776
user_0fxqOoak	0.041863347133974285	0.015886362995689705
user_0gLO3Jgn	0.012440083551117271	0.0044952310834298435
user_0gaqD5PV	0.1305457538690245	0.05595419354268145
user_0hXMz98R	0.061887058382425565	0.029098076973575547
user_0iB7h6Sb	0.10874591488045604	0.047609185334236276
user_0iJPiO69	0.050520839756036454	0.020297386407381487
user_0iQL39IV	0.5553190961594276	0.049792142310198406
user_0iTq5hJL	0.045734109021442634	0.01853946742058261
user_0j047SoU	0.12265127392325482	0.05007329727544256
user_0jYAlOEg	0.05303218120442593	0.02304044675317201
user_0jaZcGuP	0.4553638791189293	0.02728721130874889
user_0jwZvDNM	0.04005050048300372	0.014825116693368449
user_0kISplRi	0.057046032193040934	0.024627119400464616
user_0kVD6JoS	0.03774747599684343	0.014617514386934883
user_0kooYxCl	0.03603766461983894	0.015751121828859217
user_0l4U1QmA	0.06755410040912628	0.027046307895569343
user_0lDCjyv9	0.0866403865004137	0.03042821536045843
user_0lGzQrRN	0.03857266308394621	0.01541870748457407
user_0lbyUl0v	0.05241987457509242	0.022827227825990684
user_0m6Gm9GC	0.29213179235691594	0.03052073789002376
user_0mfmp8c6	0.02358268658266131	0.007661878131474949
user_0moBXMYx	0.022469771026454245	0.00951843120462019
user_0myWSPwJ	0.11845517754018754	0.04612995173422851
user_0n6IaZr3	0.1248319088544316	0.04927650062638102
user_0nFzNoKU	0.5338322119740463	0.03996108625835098
user_0nNx2h5J	0.02425955286479905	0.009253225132154715
user_0nPJQTbD	0.02601818259154998	0.010953541962596763
user_0o5WYtfW	0.006117806155693358	0.002349857259333115
user_0o94qs9S	0.06621878285944321	0.023747000654710384
user_0oc4EA25	0.11190751644882786	0.04311579179246303
user_0ojrMVSw	0.05767434063638646	0.021682881481287657
user_0ossO0QP	0.0430587607790343	0.016978223329652337
user_0p5fXniu	0.13977464952995328	0.054085637262563706
user_0p8bH9FS	0.10992931727089574	0.04328836222205238
user_0pNmaf8j	0.030063107651750118	0.013475092635260442
user_0ptMCHjx	0.08857335589311335	0.04079582111678957
user_0q2TZmDG	0.2819244203058704	0.012595195794754929
user_0q2uGdep	0.1673567541979735	0.05588388295418648
user_0qHyJXXH	0.05917639303632813	0.022938874608721457
user_0qhxa00S	0.0014894312753205678	0.0005314156503627581
user_0qouzOrl	0.0036566232578266484	0.0012979391407325577
user_0qzW9qwm	0.022250956576325517	0.006796315572435501
user_0r1kcq2n	0.010028389371370752	0.003581855220280556
user_0r4QoI0c	0.12532475260373357	0.05035147101877807
user_0rkViBle	0.023434400264570523	0.008543817227218618
user_0rp0aZkA	0.03400487586600837	0.013877025054656465
user_0sTULrYk	0.03662562614317866	0.016170100337310908
user_0sWECI96	0.17756189475565126	0.06715877803998649
user_0t4ncKQw	0.06224195255469065	0.023118013394847484
user_0tqMCp04	0.05497782806211856	0.021232604313389546
user_0twzIVnT	0.059946793914295936	0.021062296253501585
user_0uAIapDI	0.0480728740807771	0.018451133891426226
user_0uQEumiW	0.04580560813532859	0.01931724620943502
user_0unbY98g	0.07792725033525566	0.02997325328390559
user_0uzKaijX	0.022228220271080942	0.008132020043004777
user_0v5OhEBB	0.0801059783667932	0.028764157793076697
user_0vHqLeIf	0.01775527549334549	0.006401042836378467
user_0vWKi40C	0.0933110590292055	0.037916591889654835
user_0vYUS9bM	0.018783055692465356	0.006893949721520231
user_0wB5YRr4	0.02312490791849281	0.009731648976210858
user_0wKMKtUF	0.7152514701171744	0.02479238227056648
user_0woySlm9	0.015673558373958844	0.006085999336982647
user_0xGX1m9X	0.002267772466794211	0.0008290811904224025
user_0xqoP5K3	0.10614006598739224	0.0432951826887558
user_0y6ouDLW	0.02299218759274716	0.009572191465360445
user_0yDqkOmJ	0.0231153048508502	0.008583659677700703
user_0ybUCWMJ	0.007236054139431558	0.002607242123708872
user_0yh0Q6kg	0.03143553445475488	0.010940614191842767
user_0ynpH0ZQ	0.04206347525065725	0.017098530750732963
user_0zMAHUo7	0.029540710047196148	0.012181705937836964
user_0zOMLUsX	0.006728216008800129	0.0024262916913451557
user_0zZNsHc0	0.7625303108099271	0.05018617106675768
user_0zk0AQjU	0.09896359812031882	0.04139960566181492
user_10iPymmO	0.09264439562194757	0.04457442949307156
user_11DRPTDc	0.34424952370141243	0.020259888679503367
user_11EFDDwd	0.03645217203334629	0.01248871633489146
user_11SEVTko	0.04091242198039716	0.016281259014534383
user_11YBewxw	0.03993313844820594	0.014866245869775134
user_11fY6Q0Q	0.25387838790651573	0.008382199813206833
user_11uE8uLE	0.13311432573633805	0.05203606214014126
user_12iET9po	0.06941126014315109	0.026805480516243742
user_12vNIDtT	0.2945190773961298	0.11829024005475607
user_13ckV644	0.03528606050223807	0.01398049166207323
user_14A1xDoD	0.06069434669546055	0.02203082139673962
user_14hZw1kF	0.08477253068940083	0.03592718113610707
user_14xAbS0u	0.3450729096144131	0.025629113247829568
user_154KWvzY	0.014065924206486394	0.004413587073383206
user_15AmhzFT	0.3352744174529482	0.02569445755191639
user_15HNjxpA	0.07825559670303492	0.02842328157215931
user_15RDSuGN	0.0747121631594565	0.02804040477467959
user_15aH9tg3	0.04449613396588958	0.017274622458884354
user_163iywwN	0.09606630094135976	0.032966251193730166
user_16Dij2uw	0.05778410018215211	0.02236295912586192
user_16F2CroY	0.08031063969878419	0.035029104418278854
user_16MuvsDf	0.05600493841689769	0.0254385576235136
user_16RFSKEm	0.025852110593353496	0.009428905437300765
user_16Xy2dOO	0.03704693525187366	0.011549855684961214
user_16zAdR7k	0.8260315983796069	0.02428147496231941
user_16zJonSe	0.03923148769880067	0.015320070025279187
user_17AagpHk	0.02517955461187448	0.010692143957725058
user_17DJkC7D	0.052769555737222064	0.019207350108348613
user_17QHjH0r	0.5134171637242843	0.01713290179923262
user_17gf5ahF	1.7854663938276913	0.11521081497028714
user_17w1R09M	0.06910047514183054	0.026099087981583946
user_17xUglel	0.9005197696989427	0.039187242026728006
user_18Mn4M5F	0.07463554448971302	0.029215239159111735
user_18h8IZ7D	0.43382842370341357	0.06026440708778635
user_18mOnIZY	0.05044333381102015	0.020223056342687763
user_18y3d6A5	0.04225278674588352	0.014637128311573334
user_19BBv82I	0.019381030815433426	0.007379572509930101
user_19CGgQjw	0.12073442044972213	0.049071442954148
user_19F2eisl	0.043312933111550767	0.017648652806156715
user_19tjSw2q	0.05939661023314554	0.02356921090036268
user_1A8S5QG9	0.1289553743048571	0.050608968836903585
user_1AAoY0Yh	0.028792864344492138	0.011966091266062686
user_1ADcIFtk	0.16346070967714618	0.06744636907977866
user_1ATouyiJ	0.3683021704946543	0.010024600001325499
user_1AYaz7iz	0.10556738696754081	0.0488193000752158
user_1AeX8Z3o	0.04802112842120058	0.021330151758652917
user_1Agzritt	0.01010027367215478	0.003597306962206466
user_1Apvr9Ek	0.04587347351749472	0.016798933536478173
user_1BN0t1K9	0.3524809004941719	0.017946886663726555
user_1Be0lpZH	0.06852317814819198	0.03147154446856363
user_1C65pAuG	0.2696403409611521	0.10613018677518794
user_1CGQozOZ	0.4756201396123505	0.042922205083261875
user_1COlqqr2	0.040416181683591526	0.01880226575629884
user_1CX8dVR4	0.05698596610276015	0.02140889258622914
user_1CdGIYtk	0.0674114403038913	0.027196975919024178
user_1Cv93Gce	0.5586492914003688	0.058164383000447
user_1D0IZHTE	0.889424307417817	0.08187247534435163
user_1DLKgH2U	0.24643837637699337	0.013508545776515458
