Model,nDCG@10_mean,nDCG@10_std,KL_mean,KL_std,JSD_mean,JSD_std
BPR,0.6353282169550526,0.339190496574042,4.312630364827062,2.647302503700007,0.12884092052449303,0.06631782505076861
ItemKNN,0.8583708804584165,0.23343329871116508,3.533215089623264,2.468671406559265,0.11188039805582843,0.06356744850392558
MostPop,0.2509285131966429,0.3480892443210793,1.495795338311759,0.8688319061476633,0.06483454441663296,0.03898651982969886
Random,0.0005643813912160701,0.007971476064185787,4.34307912941065,2.7836239586911815,0.1526965708823295,0.07671244551417811
